label,wordsPerMinute,attention,browFurrow,browRaise,cheekRaise,chinRaise,dimpler,eyeClosure,eyeWiden,innerBrowRaise,jawDrop,lidTighten,lipCornerDepressor,lipPress,lipPucker,lipSuck,mouthOpen,noseWrinkle,smile,smirk,upperLipRaise,active_socialNetwork,active_shopping,active_entertainment,active_general,active_work,active_other,open_socialNetwork,open_shopping,open_entertainment,open_general,open_work
1,10,95.36665344,1.08E-05,0.539424717,0.000126115,7.977440357,0.249155313,8.42E-14,3.203435659,14.65341759,1.431372643,0.006904232,0.180751786,0.002117945,1.646356463,0.215364456,0.856147528,0.00248378,1.35E-08,0.093489625,6.07E-06,0,0,0,0,0,1,0,0,0,0,3
1,10,98.52802277,3.76E-06,2.209500074,0.001340995,0.000873053,0.000818808,3.93E-11,0.007767702,0.858749449,0.331397504,0.003089328,0.110343702,0.012457066,0.140169978,0.003818262,2.622304201,0.001289824,5.89E-10,0.000354811,9.10E-06,0,0,0,0,1,0,0,0,0,0,3
1,10,98.52802277,3.76E-06,2.209500074,0.001340995,0.000873053,0.000818808,3.93E-11,0.007767702,0.858749449,0.331397504,0.003089328,0.110343702,0.012457066,0.140169978,0.003818262,2.622304201,0.001289824,5.89E-10,0.000354811,9.10E-06,0,0,0,0,1,0,0,0,0,0,3
1,10,81.70350647,1.45E-05,0.66197753,5.91E-05,0.000292803,0.000193341,5.30E-10,0.053429831,0.053727768,0.391658485,0.003595732,0.002143636,0.011238028,0.255512595,0.01178558,0.416013598,0.008193323,1.35E-09,5.31E-05,5.31E-07,0,0,0,0,1,0,0,0,0,0,3
1,10,93.04426575,2.92E-06,0.341975152,3.91E-05,0.002045667,0.115864635,3.61E-10,0.313704342,0.032174286,0.057440635,0.001109168,4.42E-05,0.019809598,0.002595602,0.016523724,0.158800215,0.000102653,8.89E-09,0.00411356,4.57E-07,0,0,0,0,1,0,0,0,0,0,3
1,10,94.51198578,1.19E-06,1.371661544,0.002369283,0.005895507,0.002126823,0.049362499,0.171861783,0.027995862,0.316723883,0.00268285,0.025682839,0.013118182,0.002168946,0.986575067,0.008970423,0.001772146,1.45E-09,0.000366953,2.01E-07,0,0,0,0,1,0,0,0,0,0,3
1,10,94.51198578,1.19E-06,1.371661544,0.002369283,0.005895507,0.002126823,0.049362499,0.171861783,0.027995862,0.316723883,0.00268285,0.025682839,0.013118182,0.002168946,0.986575067,0.008970423,0.001772146,1.45E-09,0.000366953,2.01E-07,0,0,0,0,1,0,0,0,0,0,3
1,10,98.66863251,6.74E-05,0.02083079,0.001948905,93.22132111,99.99710083,4.72E-11,4.523552418,2.520972967,8.91E-05,0.09109991,3.618713856,98.90127563,0.000127027,99.99989319,1.66E-07,0.000176753,4.29E-07,2.122280836,2.92E-10,0,0,0,0,1,0,0,0,0,0,3
1,10,98.50284576,4.92E-05,0.218774557,0.000515862,67.40910339,99.9936676,3.67E-11,14.6411953,6.680529594,0.000612435,0.09603703,0.007267102,99.93022919,3.62E-05,99.99998474,2.72E-05,8.56E-05,1.77E-05,4.340961933,4.93E-10,0,0,0,0,1,0,0,0,0,0,3
1,10,91.17811584,5.78E-05,0.609998465,2.71E-05,12.23534012,99.36063385,1.84E-08,0.701802015,0.059343264,0.018280601,0.010083441,0.000639646,50.84830475,0.000131171,99.99906921,9.61E-05,3.24E-05,2.62E-06,0.053603344,3.34E-09,0,0,0,0,1,0,0,0,0,0,3
